Title,Body,Labels,Milestone,Assignees
"[EPIC-A] Map Command Center","Goal: Make the map the operational command interface for all zones and assets.

Scope:
- Zone boundaries and labels
- Asset and operational layers
- Risk overlays
- Zone command drawer

Acceptance:
- All zones visible with boundaries and names
- Layer toggles update without reload
- Zone drawer opens with live metrics","epic,map,priority:P0","M1: Map Command Center Foundation",""
"[EPIC-B] Action Execution Framework","Goal: Convert insights into immediate, traceable actions.

Scope:
- Task actions (create/start/complete/cancel)
- Alert actions (resolve/escalate/request evidence)
- Daily check and navigation actions

Acceptance:
- All actions persist with actor and timestamp
- Errors are surfaced clearly","epic,actions,priority:P0","M2: Action Workflows + Daily Operations",""
"[EPIC-C] Proactive Question Engine","Goal: Automatically ask high-value questions when critical data is missing.

Scope:
- Trigger rules
- Queue lifecycle
- Role-based response UX

Acceptance:
- Correct lifecycle transitions
- Idempotent trigger behavior","epic,questions,priority:P0","M3: Proactive Question Engine",""
"[EPIC-D] Recommendation Engine v1","Goal: Generate explainable, ranked recommendations with immediate actions.

Scope:
- Category-based generation
- Ranking and expiry
- Action lifecycle tracking

Acceptance:
- Recommendations include rationale/confidence/impact
- Actions update status and audit trail","epic,recommendations,priority:P0","M4: Recommendation Engine v1",""
"[EPIC-E] Learning and Adaptation Loop","Goal: Improve recommendation quality over time from outcomes and operator behavior.

Scope:
- Outcome tracking windows (1/7/30/90)
- Adaptive weighting
- Prompt suppression for low-value repetition

Acceptance:
- Recommendation ordering improves using feedback","epic,learning,priority:P1","M5: Learning Loop + External Signals",""
"[EPIC-F] External Signal Integration","Goal: Integrate weather and market signals into proactive planning.

Scope:
- Weather ingestion and triggers
- Market ingestion and pricing-aware recommendations
- Degraded mode on outage

Acceptance:
- Valid recommendations generated from external events","epic,external-signals,priority:P1","M5: Learning Loop + External Signals",""
"[EPIC-G] Geospatial Data Completion","Goal: Close map data gaps for operational precision.

Scope:
- Plot 12 precision validation
- Water point mapping
- Gate mapping
- Fence segment digitization

Acceptance:
- Critical geospatial gaps reduced to zero","epic,geospatial,priority:P0","M1: Map Command Center Foundation",""
"[EPIC-H] Security, Observability, and Readiness","Goal: Ensure production-safe behavior and diagnosability.

Scope:
- RLS validation
- telemetry and monitoring
- release hardening

Acceptance:
- No open P0 auth/data integrity defects","epic,security,observability,priority:P0","M6: Hardening + Go-Live",""
"[STORY-A1] Render inferred zone polygons","Parent: EPIC-A

Implement:
- Render all inferred and mapped zone polygons
- Show zone labels and type icons

Acceptance:
- All zones visible and selectable","story,map,priority:P0","M1: Map Command Center Foundation",""
"[STORY-A2] Add satellite/street base map toggle","Parent: EPIC-A

Implement map style switcher with persisted preference.

Acceptance:
- Toggle updates map instantly
- Preference restored on app relaunch","story,map,priority:P0","M1: Map Command Center Foundation",""
"[STORY-A3] Add zoom controls and zoom indicator","Parent: EPIC-A

Implement + and - controls plus visible current zoom level.

Acceptance:
- Zoom controls work on mobile
- Zoom indicator updates as map moves","story,map,priority:P0","M1: Map Command Center Foundation",""
"[STORY-A4] Add pan/scroll gesture toggle","Parent: EPIC-A

Implement user toggle for gesture enable/disable and persist setting.

Acceptance:
- Gestures can be turned on/off
- State persists across restarts","story,map,priority:P0","M1: Map Command Center Foundation",""
"[STORY-A5] Build layer toggle panel scaffold","Parent: EPIC-A

Implement UI for toggling asset/operational layers.

Acceptance:
- Layer chips visible and interactive
- No full-screen reload needed","story,map,priority:P1","M1: Map Command Center Foundation",""
"[STORY-A6] Open zone command drawer on zone tap","Parent: EPIC-A

Implement tap-to-open drawer with zone identity and baseline metadata.

Acceptance:
- Drawer opens under 300ms
- Correct zone selected","story,map,priority:P0","M1: Map Command Center Foundation",""
"[STORY-B1] Create and assign task action","Parent: EPIC-B

Implement create task flow with owner, priority, due block.

Acceptance:
- Task persisted and visible immediately","story,actions,priority:P0","M2: Action Workflows + Daily Operations",""
"[STORY-B2] Start/complete/cancel task actions","Parent: EPIC-B

Implement lifecycle buttons with status persistence.

Acceptance:
- Status transitions accurate and auditable","story,actions,priority:P0","M2: Action Workflows + Daily Operations",""
"[STORY-B3] Resolve anomaly from manager dashboard","Parent: EPIC-B

Implement resolve action with manager note and actor metadata.

Acceptance:
- Resolved anomalies no longer shown as unresolved","story,actions,priority:P0","M2: Action Workflows + Daily Operations",""
"[STORY-B4] Add open-in-maps navigation","Parent: EPIC-B

Implement external navigation to selected zone center.

Acceptance:
- Map app opens with correct coordinates","story,actions,mobile,priority:P1","M2: Action Workflows + Daily Operations",""
"[STORY-B5] Create/update daily check from map context","Parent: EPIC-B

Implement map-context daily check form and save flow.

Acceptance:
- Check is created and listed in recent checks","story,actions,checks,priority:P0","M2: Action Workflows + Daily Operations",""
"[STORY-B6] Add action confirmation and error UX","Parent: EPIC-B

Standardize confirmations and error surfacing for all immediate actions.

Acceptance:
- Success/failure states visible and clear","story,ux,priority:P1","M2: Action Workflows + Daily Operations",""
